Category,Information
Title,Centennial College - Artificial Intelligence - Software Engineering Technology (Optional Co-op)
Program Highlight,Software Engineering Technology – Artificial Intelligence courses incorporate the use of leading technology geared to industry standards.
Program Highlight,Project-based learning is a key component of the offering.
Program Highlight,Knowledgeable and approachable faculty members have diverse industry experience and academic credentials.
Program Highlight,This program is also delivered in a version that includes a co-op option. Students who choose this version (program #3412) are introduced to some of the biggest names in the industry with whom they are able to network in addition to gaining experience that puts them ahead of the competition — before they even graduate.
Program Highlight,Graduates from the program may apply for certified membership to their provincial engineering technology association.
Company Offering Jobs,IBM Canada
Company Offering Jobs,Manulife
Company Offering Jobs,CIBC
Company Offering Jobs,RBC
Company Offering Jobs,BMO
Company Offering Jobs,Bell Canada
Company Offering Jobs,Scotiabank
Company Offering Jobs,TD
Company Offering Jobs,Toronto Transit Commission (TTC)
Company Offering Jobs,American Express
Company Offering Jobs,Toronto Stock Exchange
Company Offering Jobs,Canadian Tire
Company Offering Jobs,Top Hat
Company Offering Jobs,SOTI
Career Outlook,AI Developer
Career Outlook,Software Engineer
Career Outlook,Machine Learning Engineer
Career Outlook,Data Analytics Developer
Career Outlook,Software tester
Career Outlook,Mobile application developer
Career Outlook,Computer programmer
Career Outlook,Systems analyst
Career Outlook,Data analyst
Career Outlook,Data Science Developer
Career Outlook,Database Developer
Career Outlook,Web application developer
Career Outlook,Applications or software support
